"URL","TITLE"
"http://imgs.xkcd.com/comics/escape_artist.png","Escape Artist"
"http://imgs.xkcd.com/comics/more_accurate.png","More Accurate"
"http://imgs.xkcd.com/comics/november.png","November"
"http://imgs.xkcd.com/comics/floor_tiles.png","Floor Tiles"
"http://imgs.xkcd.com/comics/potential.png","Potential"
"http://imgs.xkcd.com/comics/alone.png","Alone"
"http://imgs.xkcd.com/comics/bad_timing.png","Bad Timing"
"http://imgs.xkcd.com/comics/mail.png","Mail"
"http://imgs.xkcd.com/comics/before_sunrise.png","Before Sunrise"
"http://imgs.xkcd.com/comics/letting_go.png","Letting Go"
"http://imgs.xkcd.com/comics/campfire.png","Campfire"
"http://imgs.xkcd.com/comics/six_months.png","Six Months"
"http://imgs.xkcd.com/comics/frame.jpg","Frame"
"http://imgs.xkcd.com/comics/aeris_dies.png","Aeris Dies"
"http://imgs.xkcd.com/comics/the_important_field.png","The Important Field"
"http://imgs.xkcd.com/comics/lisp.jpg","Lisp"
"http://imgs.xkcd.com/comics/ghostbusters_marathon.png","Ghostbusters Marathon"
"http://imgs.xkcd.com/comics/random_number.png","Random Number"
"http://imgs.xkcd.com/comics/plastic_bags.png","Plastic Bags"
"http://imgs.xkcd.com/comics/librarians.png","Librarians"
"http://imgs.xkcd.com/comics/goto.png","Goto"
"http://imgs.xkcd.com/comics/love.jpg","Love"
"http://imgs.xkcd.com/comics/nihilism.png","Nihilism"
"http://imgs.xkcd.com/comics/christmas_gps.png","Christmas Gps"
"http://imgs.xkcd.com/comics/porn_folder.png","Porn Folder"
"http://imgs.xkcd.com/comics/everything.png","Everything"
"http://imgs.xkcd.com/comics/command_line_fu.png","Command Line Fu"
"http://imgs.xkcd.com/comics/philosophy.png","Philosophy"
"http://imgs.xkcd.com/comics/cover_up.png","Cover Up"
"http://imgs.xkcd.com/comics/names.png","Names"
"http://imgs.xkcd.com/comics/pi.jpg","Pi"
"http://imgs.xkcd.com/comics/solar_plexus.jpg","Solar Plexus"
"http://imgs.xkcd.com/comics/kayak.png","Kayak"
"http://imgs.xkcd.com/comics/kerning.png","Kerning"
"http://imgs.xkcd.com/comics/a_better_idea.png","A Better Idea"
"http://imgs.xkcd.com/comics/finish_line.png","Finish Line"
"http://imgs.xkcd.com/comics/canada.png","Canada"
"http://imgs.xkcd.com/comics/why_do_you_love_me.jpg","Why Do You Love Me"
"http://imgs.xkcd.com/comics/adam_and_eve.png","Adam And Eve"
"http://imgs.xkcd.com/comics/drawing_stars.png","Drawing Stars"
"http://imgs.xkcd.com/comics/all_your_base.png","All Your Base"
"http://imgs.xkcd.com/comics/space_launch_system.png","Space Launch System"
"http://imgs.xkcd.com/comics/the_perfect_sound.png","The Perfect Sound"
"http://imgs.xkcd.com/comics/alternative_literature.png","Alternative Literature"
"http://imgs.xkcd.com/comics/projection.png","Projection"
"http://imgs.xkcd.com/comics/sail.png","Sail"
"http://imgs.xkcd.com/comics/suckville.png","Suckville"
